7.301099578188062012e-04	1.082241041621793964e-03	2.145712418183955139e-02
3.581560302931346366e-03	9.689538662078827020e-04	2.633073960846491965e-02
1.526647241832485360e-03	1.253823527004062344e-04	7.721798317260079522e-03
2.546575427849308640e-03	7.546108615717418342e-05	1.342711756646293442e-02
5.665491670797099031e-05	1.457591153714635473e-03	1.646520874249532765e-02
5.983743280793745812e-04	1.260546411455000905e-03	1.438136859670884928e-02
2.349319310634590148e-04	3.846767916917819843e-04	1.079986179786378807e-02
3.332212563892050870e-04	1.962045003017679357e-03	1.602983578067414608e-02
1.723142303872451930e-02	3.538982172057428613e-03	1.522108289261780989e-02
1.371933156052690221e-02	1.182912574870388644e-03	1.488183080051081256e-02
1.217702112293750777e-01	4.350757740420587924e-03	1.314698189835760041e-02
8.999381607828283239e-03	1.500966854412408291e-03	1.411687797391478205e-02
2.970193843653382276e-03	1.354659762833494967e-04	5.263640550066315399e-03
6.356835719473897042e-03	3.355629034796405721e-04	7.622541698896397391e-03
4.388147450438150549e-03	5.028922277579175697e-04	8.640285789225141122e-03
7.138910527743467030e-03	1.054419944511462086e-04	4.302725064587850992e-03
1.696790807681150537e-02	2.057050758417558456e-04	7.905311585251838247e-03
9.791487721491297022e-03	4.440724741028527337e-04	7.313947978035519222e-03
2.702577989629922212e-02	1.467489420453856129e-04	7.646820707477861370e-03
1.299750951521588989e-02	5.561947721134988774e-04	1.192471543897284485e-02
5.846592188114707470e-04	1.400671331213946169e-04	4.545455223066578558e-03
1.125472301461707351e-03	1.211845188464716024e-04	3.935853373309245937e-03
3.055673140303331739e-04	1.566426672085577669e-04	7.117010866767945615e-03
1.331706493849756871e-03	1.842334574075858028e-04	4.542661131533028314e-03
3.754129145836130211e-03	1.192201038312503498e-03	2.206266460212886332e-02
8.731779722482464756e-03	6.403691800993762838e-04	1.635761551042475351e-02
3.280779539552749861e-03	3.207763651196030019e-04	8.613623298952420917e-03
1.971569233832599216e-02	8.919011561401209718e-04	6.855274296192220666e-03
7.673838646731859247e-05	3.201243003926990995e-03	1.496987796947913361e-02
3.394668677754830683e-05	7.351202715134893401e-04	1.607505129349850667e-02
1.502065663023102911e-03	1.233328533260243478e-04	1.444361240050565619e-02
2.258457618010240812e-04	2.682869809775162342e-03	2.281746773630057359e-02
