method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,kmeans,0.24435681128474437
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,spectral,0.2407323613493544
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,agglomerative,0.2823591655327334
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,hdbscan,0.4245284824146865
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,gmm,0.23104127806946356
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,hdbscan,0.40493463365233007
