method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,spectral,0.11748161772300804
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,spectral,0.11748161772300804
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,spectral,0.11748161772300804
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,spectral,0.10227485238540404
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.0001}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,spectral,0.12483739341296737
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'randomized', 'tol': 0.001}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,kmeans,0.14192469905370841
